nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mvscoglw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_102227-mvscoglw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-resnet18/runs/mvscoglw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 154/200 - Loss: 0.0092, Val Acc: 59.91%, Head: 69.33%, Med: 22.25%, Tail: 0.00%
[adam] Epoch 155/200 - Loss: 0.0121, Val Acc: 59.66%, Head: 69.22%, Med: 21.40%, Tail: 0.00%
[adam] Epoch 156/200 - Loss: 0.0083, Val Acc: 59.28%, Head: 68.69%, Med: 21.65%, Tail: 0.00%
[adam] Epoch 157/200 - Loss: 0.0108, Val Acc: 60.85%, Head: 69.75%, Med: 25.25%, Tail: 0.00%
[adam] Epoch 158/200 - Loss: 0.0082, Val Acc: 60.23%, Head: 69.80%, Med: 21.95%, Tail: 0.00%
[adam] Epoch 159/200 - Loss: 0.0065, Val Acc: 60.58%, Head: 69.33%, Med: 25.60%, Tail: 0.00%
[adam] Epoch 160/200 - Loss: 0.0085, Val Acc: 60.08%, Head: 69.76%, Med: 21.35%, Tail: 0.00%
[adam] Epoch 161/200 - Loss: 0.0076, Val Acc: 60.25%, Head: 69.79%, Med: 22.10%, Tail: 0.00%
[adam] Epoch 162/200 - Loss: 0.0071, Val Acc: 61.06%, Head: 69.60%, Med: 26.90%, Tail: 0.00%
[adam] Epoch 163/200 - Loss: 0.0073, Val Acc: 59.37%, Head: 68.92%, Med: 21.15%, Tail: 0.00%
[adam] Epoch 164/200 - Loss: 0.0057, Val Acc: 60.84%, Head: 70.35%, Med: 22.80%, Tail: 0.00%
[adam] Epoch 165/200 - Loss: 0.0070, Val Acc: 60.62%, Head: 69.88%, Med: 23.60%, Tail: 0.00%
[adam] Epoch 166/200 - Loss: 0.0046, Val Acc: 60.93%, Head: 70.03%, Med: 24.55%, Tail: 0.00%
[adam] Epoch 167/200 - Loss: 0.0066, Val Acc: 60.76%, Head: 69.50%, Med: 25.80%, Tail: 0.00%
[adam] Epoch 168/200 - Loss: 0.0043, Val Acc: 60.04%, Head: 69.12%, Med: 23.70%, Tail: 0.00%
[adam] Epoch 169/200 - Loss: 0.0056, Val Acc: 59.97%, Head: 69.10%, Med: 23.45%, Tail: 0.00%
[adam] Epoch 170/200 - Loss: 0.0042, Val Acc: 59.88%, Head: 69.74%, Med: 20.45%, Tail: 0.00%
[adam] Epoch 171/200 - Loss: 0.0046, Val Acc: 60.42%, Head: 69.71%, Med: 23.25%, Tail: 0.00%
[adam] Epoch 172/200 - Loss: 0.0054, Val Acc: 60.28%, Head: 69.16%, Med: 24.75%, Tail: 0.00%
[adam] Epoch 173/200 - Loss: 0.0039, Val Acc: 59.80%, Head: 68.96%, Med: 23.15%, Tail: 0.00%
[adam] Epoch 174/200 - Loss: 0.0026, Val Acc: 59.98%, Head: 69.49%, Med: 21.95%, Tail: 0.00%
[adam] Epoch 175/200 - Loss: 0.0041, Val Acc: 60.24%, Head: 69.71%, Med: 22.35%, Tail: 0.00%
[adam] Epoch 176/200 - Loss: 0.0044, Val Acc: 60.31%, Head: 69.25%, Med: 24.55%, Tail: 0.00%
[adam] Epoch 177/200 - Loss: 0.0023, Val Acc: 60.75%, Head: 69.39%, Med: 26.20%, Tail: 0.00%
[adam] Epoch 178/200 - Loss: 0.0025, Val Acc: 60.46%, Head: 69.55%, Med: 24.10%, Tail: 0.00%
[adam] Epoch 179/200 - Loss: 0.0033, Val Acc: 60.27%, Head: 69.47%, Med: 23.45%, Tail: 0.00%
[adam] Epoch 180/200 - Loss: 0.0028, Val Acc: 59.89%, Head: 69.41%, Med: 21.80%, Tail: 0.00%
[adam] Epoch 181/200 - Loss: 0.0031, Val Acc: 60.91%, Head: 70.60%, Med: 22.15%, Tail: 0.00%
