nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run oo6mx125
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_022239-oo6mx125
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/oo6mx125
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=2400: 63.354% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 99/200 - Loss: 0.0392, Val Acc: 59.16%, Head: 67.72%, Med: 24.90%, Tail: 0.00%
[trinity] Epoch 100/200 - Loss: 0.0386, Val Acc: 58.08%, Head: 67.69%, Med: 19.65%, Tail: 0.00%
[trinity] Epoch 101/200 - Loss: 0.0422, Val Acc: 59.32%, Head: 67.84%, Med: 25.25%, Tail: 0.00%
[trinity] Epoch 102/200 - Loss: 0.0335, Val Acc: 60.13%, Head: 69.66%, Med: 22.00%, Tail: 0.00%
[trinity] Epoch 103/200 - Loss: 0.0361, Val Acc: 59.82%, Head: 68.42%, Med: 25.40%, Tail: 0.00%
[trinity] Epoch 104/200 - Loss: 0.0392, Val Acc: 59.56%, Head: 68.24%, Med: 24.85%, Tail: 0.00%
[trinity] Epoch 105/200 - Loss: 0.0370, Val Acc: 59.18%, Head: 67.69%, Med: 25.15%, Tail: 0.00%
[trinity] Epoch 106/200 - Loss: 0.0352, Val Acc: 57.56%, Head: 65.49%, Med: 25.85%, Tail: 0.00%
[trinity] Epoch 107/200 - Loss: 0.0328, Val Acc: 59.88%, Head: 68.60%, Med: 25.00%, Tail: 0.00%
[trinity] Epoch 108/200 - Loss: 0.0245, Val Acc: 60.78%, Head: 69.33%, Med: 26.60%, Tail: 0.00%
[trinity] Epoch 109/200 - Loss: 0.0310, Val Acc: 60.91%, Head: 68.56%, Med: 30.30%, Tail: 0.00%
[trinity] Epoch 110/200 - Loss: 0.0306, Val Acc: 59.18%, Head: 68.42%, Med: 22.20%, Tail: 0.00%
[trinity] Epoch 111/200 - Loss: 0.0295, Val Acc: 59.58%, Head: 68.21%, Med: 25.05%, Tail: 0.00%
[trinity] Epoch 112/200 - Loss: 0.0230, Val Acc: 59.83%, Head: 68.66%, Med: 24.50%, Tail: 0.00%
[trinity] Epoch 113/200 - Loss: 0.0211, Val Acc: 58.89%, Head: 67.97%, Med: 22.55%, Tail: 0.00%
[trinity] Epoch 114/200 - Loss: 0.0257, Val Acc: 60.38%, Head: 68.81%, Med: 26.65%, Tail: 0.00%
[trinity] Epoch 115/200 - Loss: 0.0223, Val Acc: 59.90%, Head: 69.00%, Med: 23.50%, Tail: 0.00%
[trinity] Epoch 116/200 - Loss: 0.0213, Val Acc: 59.67%, Head: 68.45%, Med: 24.55%, Tail: 0.00%
[trinity] Epoch 117/200 - Loss: 0.0270, Val Acc: 59.67%, Head: 67.90%, Med: 26.75%, Tail: 0.00%
[trinity] Epoch 118/200 - Loss: 0.0243, Val Acc: 60.92%, Head: 68.71%, Med: 29.75%, Tail: 0.00%
[trinity] Epoch 119/200 - Loss: 0.0209, Val Acc: 60.40%, Head: 68.96%, Med: 26.15%, Tail: 0.00%
[trinity] Epoch 120/200 - Loss: 0.0189, Val Acc: 60.17%, Head: 68.17%, Med: 28.15%, Tail: 0.00%
[trinity] Epoch 121/200 - Loss: 0.0195, Val Acc: 60.57%, Head: 68.36%, Med: 29.40%, Tail: 0.00%
[trinity] Epoch 122/200 - Loss: 0.0180, Val Acc: 59.91%, Head: 68.33%, Med: 26.25%, Tail: 0.00%
[trinity] Epoch 123/200 - Loss: 0.0155, Val Acc: 59.75%, Head: 67.28%, Med: 29.65%, Tail: 0.00%
[trinity] Epoch 124/200 - Loss: 0.0146, Val Acc: 59.35%, Head: 67.91%, Med: 25.10%, Tail: 0.00%
[trinity] Epoch 125/200 - Loss: 0.0145, Val Acc: 60.56%, Head: 68.12%, Med: 30.30%, Tail: 0.00%
[trinity] Epoch 126/200 - Loss: 0.0189, Val Acc: 60.28%, Head: 68.24%, Med: 28.45%, Tail: 0.00%
[trinity] Epoch 127/200 - Loss: 0.0132, Val Acc: 59.90%, Head: 68.64%, Med: 24.95%, Tail: 0.00%
[trinity] Epoch 128/200 - Loss: 0.0144, Val Acc: 59.28%, Head: 67.89%, Med: 24.85%, Tail: 0.00%
[trinity] Epoch 129/200 - Loss: 0.0165, Val Acc: 59.78%, Head: 68.17%, Med: 26.20%, Tail: 0.00%
[trinity] Epoch 130/200 - Loss: 0.0159, Val Acc: 59.94%, Head: 68.54%, Med: 25.55%, Tail: 0.00%
[trinity] Epoch 131/200 - Loss: 0.0151, Val Acc: 59.29%, Head: 68.19%, Med: 23.70%, Tail: 0.00%
[trinity] Epoch 132/200 - Loss: 0.0140, Val Acc: 60.53%, Head: 69.28%, Med: 25.55%, Tail: 0.00%
[trinity] Epoch 133/200 - Loss: 0.0141, Val Acc: 59.23%, Head: 67.61%, Med: 25.70%, Tail: 0.00%
[trinity] Epoch 134/200 - Loss: 0.0132, Val Acc: 60.78%, Head: 68.80%, Med: 28.70%, Tail: 0.00%
[trinity] Epoch 135/200 - Loss: 0.0119, Val Acc: 60.22%, Head: 68.34%, Med: 27.75%, Tail: 0.00%
[trinity] Epoch 136/200 - Loss: 0.0119, Val Acc: 60.29%, Head: 68.76%, Med: 26.40%, Tail: 0.00%
[trinity] Epoch 137/200 - Loss: 0.0095, Val Acc: 60.77%, Head: 69.15%, Med: 27.25%, Tail: 0.00%
[trinity] Epoch 138/200 - Loss: 0.0108, Val Acc: 60.79%, Head: 68.91%, Med: 28.30%, Tail: 0.00%
[trinity] Epoch 139/200 - Loss: 0.0137, Val Acc: 60.79%, Head: 69.40%, Med: 26.35%, Tail: 0.00%
[trinity] Epoch 140/200 - Loss: 0.0110, Val Acc: 60.22%, Head: 69.34%, Med: 23.75%, Tail: 0.00%
[trinity] Epoch 141/200 - Loss: 0.0093, Val Acc: 59.78%, Head: 68.51%, Med: 24.85%, Tail: 0.00%
[trinity] Epoch 142/200 - Loss: 0.0062, Val Acc: 59.89%, Head: 69.09%, Med: 23.10%, Tail: 0.00%
[trinity] Epoch 143/200 - Loss: 0.0077, Val Acc: 59.57%, Head: 68.35%, Med: 24.45%, Tail: 0.00%
[trinity] Epoch 144/200 - Loss: 0.0072, Val Acc: 60.21%, Head: 68.91%, Med: 25.40%, Tail: 0.00%
[trinity] Epoch 145/200 - Loss: 0.0091, Val Acc: 59.36%, Head: 67.90%, Med: 25.20%, Tail: 0.00%
[trinity] Epoch 146/200 - Loss: 0.0092, Val Acc: 60.61%, Head: 68.67%, Med: 28.35%, Tail: 0.00%
[trinity] Epoch 147/200 - Loss: 0.0075, Val Acc: 60.06%, Head: 68.46%, Med: 26.45%, Tail: 0.00%
