nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run az7n5eqw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_025622-az7n5eqw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/az7n5eqw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 126/200 - Loss: 0.0437, Val Acc: 58.70%, Head: 67.17%, Med: 24.80%, Tail: 0.00%
[rmsprop] Epoch 127/200 - Loss: 0.0367, Val Acc: 59.76%, Head: 69.09%, Med: 22.45%, Tail: 0.00%
[rmsprop] Epoch 128/200 - Loss: 0.0335, Val Acc: 58.87%, Head: 68.51%, Med: 20.30%, Tail: 0.00%
[rmsprop] Epoch 129/200 - Loss: 0.0334, Val Acc: 58.78%, Head: 68.41%, Med: 20.25%, Tail: 0.00%
[rmsprop] Epoch 130/200 - Loss: 0.0319, Val Acc: 59.72%, Head: 69.04%, Med: 22.45%, Tail: 0.00%
[rmsprop] Epoch 131/200 - Loss: 0.0365, Val Acc: 58.41%, Head: 67.65%, Med: 21.45%, Tail: 0.00%
[rmsprop] Epoch 132/200 - Loss: 0.0275, Val Acc: 58.67%, Head: 68.06%, Med: 21.10%, Tail: 0.00%
[rmsprop] Epoch 133/200 - Loss: 0.0278, Val Acc: 58.57%, Head: 68.78%, Med: 17.75%, Tail: 0.00%
[rmsprop] Epoch 134/200 - Loss: 0.0314, Val Acc: 58.83%, Head: 66.97%, Med: 26.25%, Tail: 0.00%
[rmsprop] Epoch 135/200 - Loss: 0.0265, Val Acc: 59.91%, Head: 69.25%, Med: 22.55%, Tail: 0.00%
[rmsprop] Epoch 136/200 - Loss: 0.0281, Val Acc: 59.66%, Head: 69.29%, Med: 21.15%, Tail: 0.00%
[rmsprop] Epoch 137/200 - Loss: 0.0272, Val Acc: 59.14%, Head: 69.17%, Med: 19.00%, Tail: 0.00%
[rmsprop] Epoch 138/200 - Loss: 0.0259, Val Acc: 59.01%, Head: 68.58%, Med: 20.75%, Tail: 0.00%
