nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jz1a10si
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073641-jz1a10si
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/jz1a10si
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 157/200 - Loss: 0.0068, Val Acc: 58.11%, Head: 67.20%, Med: 21.75%, Tail: 0.00%
[rmsprop] Epoch 158/200 - Loss: 0.0080, Val Acc: 57.00%, Head: 67.05%, Med: 16.80%, Tail: 0.00%
[rmsprop] Epoch 159/200 - Loss: 0.0057, Val Acc: 57.06%, Head: 67.28%, Med: 16.20%, Tail: 0.00%
[rmsprop] Epoch 160/200 - Loss: 0.0056, Val Acc: 58.04%, Head: 67.55%, Med: 20.00%, Tail: 0.00%
[rmsprop] Epoch 161/200 - Loss: 0.0063, Val Acc: 58.43%, Head: 66.92%, Med: 24.45%, Tail: 0.00%
[rmsprop] Epoch 162/200 - Loss: 0.0051, Val Acc: 57.25%, Head: 66.81%, Med: 19.00%, Tail: 0.00%
[rmsprop] Epoch 163/200 - Loss: 0.0050, Val Acc: 58.07%, Head: 67.17%, Med: 21.65%, Tail: 0.00%
[rmsprop] Epoch 164/200 - Loss: 0.0052, Val Acc: 57.87%, Head: 67.95%, Med: 17.55%, Tail: 0.00%
[rmsprop] Epoch 165/200 - Loss: 0.0042, Val Acc: 57.30%, Head: 67.46%, Med: 16.65%, Tail: 0.00%
[rmsprop] Epoch 166/200 - Loss: 0.0052, Val Acc: 57.11%, Head: 67.46%, Med: 15.70%, Tail: 0.00%
[rmsprop] Epoch 167/200 - Loss: 0.0040, Val Acc: 57.53%, Head: 67.17%, Med: 18.95%, Tail: 0.00%
[rmsprop] Epoch 168/200 - Loss: 0.0052, Val Acc: 57.10%, Head: 67.44%, Med: 15.75%, Tail: 0.00%
[rmsprop] Epoch 169/200 - Loss: 0.0038, Val Acc: 58.15%, Head: 67.65%, Med: 20.15%, Tail: 0.00%
[rmsprop] Epoch 170/200 - Loss: 0.0032, Val Acc: 58.41%, Head: 67.79%, Med: 20.90%, Tail: 0.00%
[rmsprop] Epoch 171/200 - Loss: 0.0040, Val Acc: 58.14%, Head: 67.79%, Med: 19.55%, Tail: 0.00%
[rmsprop] Epoch 172/200 - Loss: 0.0031, Val Acc: 58.54%, Head: 67.81%, Med: 21.45%, Tail: 0.00%
