nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0oyw2ly1
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024807-0oyw2ly1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/0oyw2ly1
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 165/200 - Loss: 0.0164, Val Acc: 60.62%, Head: 70.83%, Med: 19.80%, Tail: 0.00%
[sgd] Epoch 166/200 - Loss: 0.0124, Val Acc: 61.89%, Head: 71.38%, Med: 23.95%, Tail: 0.00%
[sgd] Epoch 167/200 - Loss: 0.0136, Val Acc: 61.99%, Head: 70.50%, Med: 27.95%, Tail: 0.00%
[sgd] Epoch 168/200 - Loss: 0.0138, Val Acc: 61.73%, Head: 71.16%, Med: 24.00%, Tail: 0.00%
[sgd] Epoch 169/200 - Loss: 0.0152, Val Acc: 61.48%, Head: 71.30%, Med: 22.20%, Tail: 0.00%
[sgd] Epoch 170/200 - Loss: 0.0119, Val Acc: 61.45%, Head: 71.04%, Med: 23.10%, Tail: 0.00%
[sgd] Epoch 171/200 - Loss: 0.0113, Val Acc: 63.21%, Head: 72.94%, Med: 24.30%, Tail: 0.00%
[sgd] Epoch 172/200 - Loss: 0.0115, Val Acc: 60.94%, Head: 70.70%, Med: 21.90%, Tail: 0.00%
[sgd] Epoch 173/200 - Loss: 0.0072, Val Acc: 62.49%, Head: 72.08%, Med: 24.15%, Tail: 0.00%
[sgd] Epoch 174/200 - Loss: 0.0093, Val Acc: 61.49%, Head: 71.80%, Med: 20.25%, Tail: 0.00%
[sgd] Epoch 175/200 - Loss: 0.0068, Val Acc: 61.21%, Head: 70.86%, Med: 22.60%, Tail: 0.00%
[sgd] Epoch 176/200 - Loss: 0.0066, Val Acc: 62.18%, Head: 71.21%, Med: 26.05%, Tail: 0.00%
[sgd] Epoch 177/200 - Loss: 0.0077, Val Acc: 61.64%, Head: 71.59%, Med: 21.85%, Tail: 0.00%
[sgd] Epoch 178/200 - Loss: 0.0060, Val Acc: 61.94%, Head: 71.41%, Med: 24.05%, Tail: 0.00%
