nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run j8h3m8hd
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073500-j8h3m8hd
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/j8h3m8hd
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=4800: 22.700% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 139/200 - Loss: 0.0055, Val Acc: 61.06%, Head: 69.89%, Med: 25.75%, Tail: 0.00%
[trinity] Epoch 140/200 - Loss: 0.0079, Val Acc: 60.73%, Head: 69.44%, Med: 25.90%, Tail: 0.00%
[trinity] Epoch 141/200 - Loss: 0.0048, Val Acc: 61.07%, Head: 70.79%, Med: 22.20%, Tail: 0.00%
[trinity] Epoch 142/200 - Loss: 0.0024, Val Acc: 61.15%, Head: 71.04%, Med: 21.60%, Tail: 0.00%
[trinity] Epoch 143/200 - Loss: 0.0031, Val Acc: 60.48%, Head: 69.53%, Med: 24.30%, Tail: 0.00%
[trinity] Epoch 144/200 - Loss: 0.0040, Val Acc: 61.29%, Head: 70.40%, Med: 24.85%, Tail: 0.00%
[trinity] Epoch 145/200 - Loss: 0.0050, Val Acc: 61.16%, Head: 70.20%, Med: 25.00%, Tail: 0.00%
[trinity] Epoch 146/200 - Loss: 0.0054, Val Acc: 61.81%, Head: 71.17%, Med: 24.35%, Tail: 0.00%
[trinity] Epoch 147/200 - Loss: 0.0039, Val Acc: 60.17%, Head: 70.08%, Med: 20.55%, Tail: 0.00%
[trinity] Epoch 148/200 - Loss: 0.0044, Val Acc: 59.81%, Head: 69.53%, Med: 20.95%, Tail: 0.00%
[trinity] Epoch 149/200 - Loss: 0.0042, Val Acc: 61.31%, Head: 69.56%, Med: 28.30%, Tail: 0.00%
[trinity] Epoch 150/200 - Loss: 0.0030, Val Acc: 61.18%, Head: 70.17%, Med: 25.20%, Tail: 0.00%
[trinity] Epoch 151/200 - Loss: 0.0037, Val Acc: 60.18%, Head: 68.85%, Med: 25.50%, Tail: 0.00%
[trinity] Epoch 152/200 - Loss: 0.0040, Val Acc: 60.98%, Head: 70.11%, Med: 24.45%, Tail: 0.00%
[trinity] Epoch 153/200 - Loss: 0.0022, Val Acc: 61.47%, Head: 70.60%, Med: 24.95%, Tail: 0.00%
[trinity] Epoch 154/200 - Loss: 0.0023, Val Acc: 60.18%, Head: 69.45%, Med: 23.10%, Tail: 0.00%
[trinity] Epoch 155/200 - Loss: 0.0022, Val Acc: 61.23%, Head: 69.85%, Med: 26.75%, Tail: 0.00%
[trinity] Epoch 156/200 - Loss: 0.0023, Val Acc: 60.35%, Head: 69.89%, Med: 22.20%, Tail: 0.00%
[trinity] Epoch 157/200 - Loss: 0.0034, Val Acc: 61.04%, Head: 69.90%, Med: 25.60%, Tail: 0.00%
[trinity] Epoch 158/200 - Loss: 0.0032, Val Acc: 61.33%, Head: 69.81%, Med: 27.40%, Tail: 0.00%
[trinity] Epoch 159/200 - Loss: 0.0029, Val Acc: 60.36%, Head: 69.21%, Med: 24.95%, Tail: 0.00%
[trinity] Epoch 160/200 - Loss: 0.0020, Val Acc: 60.43%, Head: 68.91%, Med: 26.50%, Tail: 0.00%
[trinity] Epoch 161/200 - Loss: 0.0013, Val Acc: 61.35%, Head: 70.83%, Med: 23.45%, Tail: 0.00%
[trinity] Epoch 162/200 - Loss: 0.0010, Val Acc: 61.07%, Head: 70.95%, Med: 21.55%, Tail: 0.00%
[trinity] Epoch 163/200 - Loss: 0.0006, Val Acc: 61.00%, Head: 70.47%, Med: 23.10%, Tail: 0.00%
